source,n_false,n_total,false_ind,false_ind_smoothed
Louie Gohmert,9,9,1.0,0.764223349979379
Tom Fanning,0,1,0.0,0.373647786137378
Dream Defenders,0,1,0.0,0.373647786137378
Sarah Palin,33,61,0.5409836065573771,0.5306620197012178
Charles Kuck,0,1,0.0,0.373647786137378
Oregon Catalyst,1,1,1.0,0.5089723573851558
John Boehner,37,69,0.5362318840579711,0.5274083079928713
Sean Duffy,2,8,0.25,0.3308715623968659
Helio Melo,2,2,1.0,0.5675002065046645
Teresa Tanzi,1,1,1.0,0.5089723573851558
Leticia Van de Putte,5,12,0.4166666666666667,0.42203776571821056
Republican Party of Florida,19,32,0.59375,0.5668488277866418
Portlanders for Water Reform,1,1,1.0,0.5089723573851558
Dave Hansen,1,1,1.0,0.5089723573851558
Americans for Prosperity,13,16,0.8125,0.7039471066105972
Sheila Oliver,1,6,0.16666666666666666,0.3035699743035331
BuzzFeed,1,1,1.0,0.5089723573851558
Newt Gingrich,40,71,0.5633802816901409,0.5525432402509788
Jesse  Jackson,1,2,0.5,0.4483055949593076
American Postal Workers Union,0,1,0.0,0.373647786137378
Instagram posts,1,1,1.0,0.5089723573851558
Rick Scott,53,132,0.4015151515151515,0.4029284460677226
Roger Williams,4,8,0.5,0.4698604364069958
Michele Bachmann,45,60,0.75,0.7194062549607702
Will Weatherford,5,12,0.4166666666666667,0.42203776571821056
Democratic Party of Virginia,3,7,0.42857142857142855,0.43026717445225005
Al Gore,0,2,0.0,0.3291109834139506
Pink Pony,0,2,0.0,0.3291109834139506
Sheldon Whitehouse,4,23,0.17391304347826086,0.23005122791394422
Portland Bureau of Transportation (PBOT),0,1,0.0,0.373647786137378
Facebook posts,62,93,0.6666666666666666,0.6515882575730402
Nikema  Williams,0,1,0.0,0.373647786137378
Robert Reich,1,3,0.3333333333333333,0.4005608947136531
Lincoln Chafee,8,17,0.47058823529411764,0.4600807254801388
Tweets,6,10,0.6,0.5345524651821232
Elliott Naishtat,0,3,0.0,0.29406055034478956
David Sutton,0,1,0.0,0.373647786137378
Karl Rove,7,16,0.4375,0.43596603447103055
Barbara Buono,5,16,0.3125,0.34663901042450834
Patricia Morgan,1,3,0.3333333333333333,0.4005608947136531
Jeff Kruse,2,3,0.6666666666666666,0.5070612390825165
Judicial Watch,2,2,1.0,0.5675002065046645
Gilberto Hinojosa,5,8,0.625,0.5393548734120608
Robert Menendez,4,12,0.3333333333333333,0.36765932516028993
Dave Schwartz,0,1,0.0,0.373647786137378
Larry Elder,4,4,1.0,0.6507561714596298
Rachel Campos-Duffy,1,1,1.0,0.5089723573851558
Miami-Dade County,1,1,1.0,0.5089723573851558
Ohio Democratic Party,6,11,0.5454545454545454,0.5038127584117463
Rick Perry,78,168,0.4642857142857143,0.4631073413357161
Jonathan Stickland,1,1,1.0,0.5089723573851558
Allen West,19,26,0.7307692307692307,0.6718544055489839
Jeb Bush,17,52,0.3269230769230769,0.3384354255577629
Bill Johnson,3,3,1.0,0.6135615834513801
Charlene Lima,1,2,0.5,0.4483055949593076
Americans for Prosperity Georgia chapter,0,3,0.0,0.29406055034478956
Rachel Maddow,13,27,0.48148148148148145,0.4720363121005104
Dan Stein,1,1,1.0,0.5089723573851558
Phil Burress,0,1,0.0,0.373647786137378
Jimmy Carter,3,8,0.375,0.40036599940193085
Tony Perkins,1,2,0.5,0.4483055949593076
Luis Gutierrez,0,3,0.0,0.29406055034478956
Gabrielle Giffords,0,2,0.0,0.3291109834139506
Paul Begala,3,3,1.0,0.6135615834513801
Lynn Westmoreland,1,7,0.14285714285714285,0.2808979717977502
Jim Sensenbrenner,6,9,0.6666666666666666,0.5692870288527199
Joseph McNamara,2,3,0.6666666666666666,0.5070612390825165
United Florida Horsemen,0,1,0.0,0.373647786137378
Debbie Wasserman Schultz,15,39,0.38461538461538464,0.3913034474099498
Sarah Ponder,0,1,0.0,0.373647786137378
David A. Clarke Jr.,6,9,0.6666666666666666,0.5692870288527199
Edward Lindsey,0,5,0.0,0.24242405884434814
Todd Young,1,1,1.0,0.5089723573851558
National Republican Senatorial Committee,13,20,0.65,0.5972465862646634
Bill Maher,3,8,0.375,0.40036599940193085
Joe Manchin,0,3,0.0,0.29406055034478956
E.W. Jackson,1,3,0.3333333333333333,0.4005608947136531
Raymond Gallison,0,1,0.0,0.373647786137378
Jason Conger,1,2,0.5,0.4483055949593076
Gene Green,0,1,0.0,0.373647786137378
Patriot Majority USA,3,5,0.6,0.5058212984939561
Richard Durbin,3,5,0.6,0.5058212984939561
Tony Evers,0,1,0.0,0.373647786137378
Jeff Sessions,2,4,0.5,0.45825673861108385
Jerry Patterson,2,9,0.2222222222222222,0.3093719340171743
Kris Jordan,0,3,0.0,0.29406055034478956
Lauren Benedict,1,1,1.0,0.5089723573851558
Tim Ryan,1,9,0.1111111111111111,0.2443931603082879
Portland Public Schools,0,4,0.0,0.2657573057625379
Stephen Nodine,0,1,0.0,0.373647786137378
Pete Gallego,1,5,0.2,0.33022313872755077
Jodie Laubenberg,1,2,0.5,0.4483055949593076
Robin Vos,4,11,0.36363636363636365,0.3888017584721846
Ron Hood,1,1,1.0,0.5089723573851558
Andre Jacque,1,1,1.0,0.5089723573851558
Ron Shipman,0,1,0.0,0.373647786137378
Lena Taylor,3,4,0.75,0.5545064550353569
Stephen Sweeney,3,9,0.3333333333333333,0.37435070772606066
John Loughlin,4,5,0.8,0.5936203783771586
Amalgamated Transit Union,0,1,0.0,0.373647786137378
Barbara Lee,0,2,0.0,0.3291109834139506
Michael McCaul,1,9,0.1111111111111111,0.2443931603082879
Dana Rohrabacher,1,1,1.0,0.5089723573851558
Joe Biden,21,66,0.3181818181818182,0.3282392711410187
Chris Larson,8,8,1.0,0.7478381844272557
Mike  Rogers,2,6,0.3333333333333333,0.38428256315094195
John Nygren,0,1,0.0,0.373647786137378
Bill Nelson,4,24,0.16666666666666666,0.22248117376575785
Sherrod Brown,7,31,0.22580645161290322,0.26106490297673624
Saxby Chambliss,3,12,0.25,0.3132808846023693
Johnny Isakson,5,14,0.35714285714285715,0.3806404928855785
Peter Roskam,0,1,0.0,0.373647786137378
Barry Bone,0,1,0.0,0.373647786137378
Morgan Griffith,5,7,0.7142857142857143,0.5796363771067499
Angela Bean,1,1,1.0,0.5089723573851558
Harold Metts,1,2,0.5,0.4483055949593076
Kitty Rhoades,1,1,1.0,0.5089723573851558
Oregon Republican Party,2,2,1.0,0.5675002065046645
Jim Bridenstine,1,1,1.0,0.5089723573851558
Don Gaetz,1,5,0.2,0.33022313872755077
Bernard Jackvony,2,2,1.0,0.5675002065046645
Mark Udall,0,2,0.0,0.3291109834139506
Doug Miller,1,1,1.0,0.5089723573851558
Christine Whitman,0,2,0.0,0.3291109834139506
Earl Blumenauer,1,6,0.16666666666666666,0.3035699743035331
Wisconsin Institute for Law & Liberty,0,1,0.0,0.373647786137378
Dave Joyce,0,2,0.0,0.3291109834139506
Progress Texas,4,5,0.8,0.5936203783771586
Rush Limbaugh,28,34,0.8235294117647058,0.7616092205424654
Kirsten Gillibrand,0,3,0.0,0.29406055034478956
Jason Carter,1,7,0.14285714285714285,0.2808979717977502
Stephen Martin,2,2,1.0,0.5675002065046645
Bob Gibbs,1,4,0.25,0.3620070221868109
John Lewis,1,4,0.25,0.3620070221868109
13th District GOP slate,0,1,0.0,0.373647786137378
Abel Collins,0,1,0.0,0.373647786137378
Tim Griffin,0,1,0.0,0.373647786137378
Michael Sullivan,1,6,0.16666666666666666,0.3035699743035331
Tom Letson,1,1,1.0,0.5089723573851558
Bernie Sanders,7,25,0.28,0.31096637900382484
Jim McDermott,2,3,0.6666666666666666,0.5070612390825165
Republican Governors Association,8,18,0.4444444444444444,0.4412169494417732
Gina Raimondo,4,15,0.26666666666666666,0.3160933369568942
Chuck Grassley,1,4,0.25,0.3620070221868109
Keith Faber,0,4,0.0,0.2657573057625379
Harry Alford,1,1,1.0,0.5089723573851558
Derek Ryan,0,1,0.0,0.373647786137378
Democratic National Committee,10,35,0.2857142857142857,0.3083168322237924
Carlos Curbelo,1,3,0.3333333333333333,0.4005608947136531
Ed FitzGerald,2,4,0.5,0.45825673861108385
Mike Tate,3,6,0.5,0.4649951519983509
Dale Kooyenga,1,3,0.3333333333333333,0.4005608947136531
Frank Caprio,0,4,0.0,0.2657573057625379
Alan Grayson,9,26,0.34615384615384615,0.36311371898194233
Oregon PTA,0,1,0.0,0.373647786137378
Peter Nightingale,0,1,0.0,0.373647786137378
Charlie Smith,0,1,0.0,0.373647786137378
Veronica Escobar,0,1,0.0,0.373647786137378
Mark Pocan,3,11,0.2727272727272727,0.3312962585024038
Steve King,3,4,0.75,0.5545064550353569
Bryan Long,0,1,0.0,0.373647786137378
Mark Warner,4,17,0.23529411764705882,0.2890648471261273
Norcross City Council,0,1,0.0,0.373647786137378
Meals on Wheels of Rhode Island,1,1,1.0,0.5089723573851558
Sander Levin,0,1,0.0,0.373647786137378
Greg Walden,3,5,0.6,0.5058212984939561
Bill Ratliff,1,1,1.0,0.5089723573851558
Nathan Deal,14,48,0.2916666666666667,0.30816756080445545
Bill Hammond,1,3,0.3333333333333333,0.4005608947136531
Carolyn Tomei,0,1,0.0,0.373647786137378
Marylanders to Prevent Gun Violence Education Fund,1,1,1.0,0.5089723573851558
AFL-CIO of New Jersey,0,1,0.0,0.373647786137378
Lynne Derbyshire,0,1,0.0,0.373647786137378
Xavier Becerra,0,2,0.0,0.3291109834139506
Ron Maag,2,2,1.0,0.5675002065046645
Randy Forbes,1,11,0.09090909090909091,0.2162852585628421
Leah Vukmir,2,3,0.6666666666666666,0.5070612390825165
Tim Echols,0,1,0.0,0.373647786137378
Robert Deuell,0,1,0.0,0.373647786137378
John Eaves,0,2,0.0,0.3291109834139506
Tom Barrett,10,23,0.43478260869565216,0.4342047934508625
Family Forward Oregon,0,1,0.0,0.373647786137378
Tavern League of Wisconsin,0,1,0.0,0.373647786137378
Tom Price,3,12,0.25,0.3132808846023693
John DePetro,5,5,1.0,0.6814194582603613
Ken Lanci,0,1,0.0,0.373647786137378
Nancy  Pelosi,12,28,0.42857142857142855,0.4292316689203007
One New Jersey,0,3,0.0,0.29406055034478956
Jeff Wagner,0,1,0.0,0.373647786137378
Lee Leffingwell,1,9,0.1111111111111111,0.2443931603082879
Marcy Kaptur,2,14,0.14285714285714285,0.2335069558115319
Reclaim America PAC,0,1,0.0,0.373647786137378
Jason Chaffetz,1,1,1.0,0.5089723573851558
Georgia Lottery,0,2,0.0,0.3291109834139506
Jay Carney,4,7,0.5714285714285714,0.5049517757795
Kathy Castor,0,2,0.0,0.3291109834139506
Ron Meyer,0,1,0.0,0.373647786137378
Mike Foley,0,2,0.0,0.3291109834139506
Cokie Roberts,1,6,0.16666666666666666,0.3035699743035331
Joee Lindbeck,0,1,0.0,0.373647786137378
Peter  Palumbo,4,6,0.6666666666666666,0.5457077408457598
Portland Association of Teachers,1,2,0.5,0.4483055949593076
Greg Abbott,12,31,0.3870967741935484,0.39479178203395965
Fred Clark,1,3,0.3333333333333333,0.4005608947136531
Jack Reed,1,6,0.16666666666666666,0.3035699743035331
Tom Coburn,5,10,0.5,0.4735383160619564
Bill Richardson,4,13,0.3076923076923077,0.3486976886266228
Ken Tanner,0,1,0.0,0.373647786137378
Kevin Reilly,0,2,0.0,0.3291109834139506
Jim Marston,0,1,0.0,0.373647786137378
Zell Miller,1,3,0.3333333333333333,0.4005608947136531
Fix Austin Schools,0,1,0.0,0.373647786137378
Martina Navratilova,0,1,0.0,0.373647786137378
Chris Clark,1,1,1.0,0.5089723573851558
Allison Tant,2,2,1.0,0.5675002065046645
George Lavender,0,1,0.0,0.373647786137378
Chris Redfern,0,8,0.0,0.191882688386736
Joe Sanfelippo,0,1,0.0,0.373647786137378
Ed Doyle,1,1,1.0,0.5089723573851558
League of Women Voters of the Austin Area,0,2,0.0,0.3291109834139506
Broward Democratic Executive Committee,1,1,1.0,0.5089723573851558
Lindsey Graham,4,12,0.3333333333333333,0.36765932516028993
Dustin  Inman Society,1,1,1.0,0.5089723573851558
Wayne Smith,1,1,1.0,0.5089723573851558
Leonard Lance,0,6,0.0,0.2228573854561242
Oregon Health Authority,1,1,1.0,0.5089723573851558
Friends of Miami First,0,1,0.0,0.373647786137378
Jack Ohman,1,1,1.0,0.5089723573851558
Marina Dimitrijevic,1,3,0.3333333333333333,0.4005608947136531
Renee Unterman,0,2,0.0,0.3291109834139506
Bob Goodlatte,1,8,0.125,0.26137712539180097
Ted Poe,2,4,0.5,0.45825673861108385
John McCain,76,176,0.4318181818181818,0.43182892717026616
Tom Graves,2,12,0.16666666666666666,0.2589024440444487
Bee Moorhead,0,1,0.0,0.373647786137378
Rob Woodall,0,3,0.0,0.29406055034478956
Ohio Oil and Gas Association,1,1,1.0,0.5089723573851558
Texas State Employees Union,0,1,0.0,0.373647786137378
Susan B. Anthony List,2,2,1.0,0.5675002065046645
Mark Johnson,1,1,1.0,0.5089723573851558
Tom Cotton,8,12,0.6666666666666666,0.5851730873919724
Adam Schefter,0,1,0.0,0.373647786137378
Charles Van Zant,2,2,1.0,0.5675002065046645
Texas Association of School Boards,0,1,0.0,0.373647786137378
Marcia Fudge,1,9,0.1111111111111111,0.2443931603082879
Randi Weingarten,1,2,0.5,0.4483055949593076
Christopher L. Smith,0,3,0.0,0.29406055034478956
Peter King,2,5,0.4,0.4180222186107534
Vincent Fort,2,5,0.4,0.4180222186107534
Linda Finn,0,3,0.0,0.29406055034478956
Carlos Gimenez,1,1,1.0,0.5089723573851558
Dianne Feinstein,1,4,0.25,0.3620070221868109
Georgia Department of Transportation,2,4,0.5,0.45825673861108385
John Barrow,0,2,0.0,0.3291109834139506
Dwight Jones,2,4,0.5,0.45825673861108385
Ohio Public Defender's Office,0,1,0.0,0.373647786137378
Michael Chippendale,2,4,0.5,0.45825673861108385
Clean Water Portland,1,1,1.0,0.5089723573851558
Associated Industries of Florida,1,2,0.5,0.4483055949593076
David Furhman,0,1,0.0,0.373647786137378
National Rifle Association,9,15,0.6,0.5498513509413271
John Duncan,2,2,1.0,0.5675002065046645
Lenny Curry,3,6,0.5,0.4649951519983509
MacIver Institute,2,4,0.5,0.45825673861108385
Nelson Wolff,1,1,1.0,0.5089723573851558
The Tax Foundation,0,3,0.0,0.29406055034478956
Arizona Citizens Defense League,1,2,0.5,0.4483055949593076
Americans United for Life,1,1,1.0,0.5089723573851558
Mike Villarreal,1,6,0.16666666666666666,0.3035699743035331
American Bird Conservancy,0,1,0.0,0.373647786137378
Nancy Nathanson,0,1,0.0,0.373647786137378
Virginia Society for Human Life,1,1,1.0,0.5089723573851558
George Will,14,31,0.45161290322580644,0.44828253365684906
NARAL Pro-Choice Virginia,1,2,0.5,0.4483055949593076
Ban the Box RI,0,1,0.0,0.373647786137378
Eva Marie Mancuso,0,1,0.0,0.373647786137378
Melvin Sickler,1,1,1.0,0.5089723573851558
Cathy McMorris Rodgers,0,2,0.0,0.3291109834139506
Joe Negron,0,2,0.0,0.3291109834139506
Elizabeth Colbert Busch,0,1,0.0,0.373647786137378
Caddy McKeown,0,1,0.0,0.373647786137378
Lon Burnam,2,2,1.0,0.5675002065046645
Michele Walsh,0,1,0.0,0.373647786137378
New Hampshire Democratic Party,3,9,0.3333333333333333,0.37435070772606066
Dick Cheney,9,16,0.5625,0.5252930585175528
Brian Anderson,0,1,0.0,0.373647786137378
Frederica Wilson,1,4,0.25,0.3620070221868109
Sondy Pope,1,3,0.3333333333333333,0.4005608947136531
Dannel Malloy,0,2,0.0,0.3291109834139506
Rahm Emanuel,2,5,0.4,0.4180222186107534
Paul Broun,13,19,0.6842105263157895,0.620769824984922
John Kasich,16,53,0.3018867924528302,0.3158989124046061
Nadine Smith,0,1,0.0,0.373647786137378
B. Heath Mitchell,0,1,0.0,0.373647786137378
Bobby  Scott,3,12,0.25,0.3132808846023693
Jim Taricani,0,1,0.0,0.373647786137378
Jeff Tittel,2,3,0.6666666666666666,0.5070612390825165
Susan Yoshihara,1,1,1.0,0.5089723573851558
Ron Wyden,1,7,0.14285714285714285,0.2808979717977502
Marion Hammer,1,2,0.5,0.4483055949593076
Fred Thompson,5,14,0.35714285714285715,0.3806404928855785
Kirk Watson,0,4,0.0,0.2657573057625379
Bishop Thomas Tobin,2,2,1.0,0.5675002065046645
Progress Ohio,0,2,0.0,0.3291109834139506
Matt Mackowiak,2,3,0.6666666666666666,0.5070612390825165
Bill Seitz,0,2,0.0,0.3291109834139506
Joe Barton,4,5,0.8,0.5936203783771586
William Perry,0,2,0.0,0.3291109834139506
Pete Snyder,0,1,0.0,0.373647786137378
Deborah Gist,0,1,0.0,0.373647786137378
Dennis Richardson,4,8,0.5,0.4698604364069958
Patience  Roggensack,0,2,0.0,0.3291109834139506
Cleta Winslow,0,1,0.0,0.373647786137378
Charles Cooper,0,1,0.0,0.373647786137378
Jim Jordan,1,9,0.1111111111111111,0.2443931603082879
Scott Henson,0,1,0.0,0.373647786137378
Carlos Trujillo,1,1,1.0,0.5089723573851558
Sal Albanese,1,1,1.0,0.5089723573851558
Physicians Committee for Responsible Medicine,1,2,0.5,0.4483055949593076
Steve LaTourette,0,5,0.0,0.24242405884434814
Wayne LaPierre,4,8,0.5,0.4698604364069958
James Bell,1,1,1.0,0.5089723573851558
Liberals Are Cool,1,1,1.0,0.5089723573851558
Larry Valencia,0,1,0.0,0.373647786137378
Bruce Hanna,2,2,1.0,0.5675002065046645
Kelly  Ayotte,3,10,0.3,0.3515100178216228
Battleground Texas,0,2,0.0,0.3291109834139506
Evan Goyke,0,1,0.0,0.373647786137378
Jeff Mullis,0,1,0.0,0.373647786137378
Drew Springer,1,1,1.0,0.5089723573851558
Jim Moran,4,14,0.2857142857142857,0.33159598052756295
Gene McIntyre,0,1,0.0,0.373647786137378
Frank Keating,1,1,1.0,0.5089723573851558
Doug Holder,1,1,1.0,0.5089723573851558
National Association for Gun Rights,1,1,1.0,0.5089723573851558
Julian Bond,1,1,1.0,0.5089723573851558
Gary Kelly,0,1,0.0,0.373647786137378
SEIU,2,4,0.5,0.45825673861108385
Joseph Levy,1,1,1.0,0.5089723573851558
Joshua Miller,0,1,0.0,0.373647786137378
Robert Kando,0,1,0.0,0.373647786137378
Jamie Radtke,2,8,0.25,0.3308715623968659
JoEllen Smith,0,1,0.0,0.373647786137378
Jim Renacci,9,15,0.6,0.5498513509413271
Ron Book,1,1,1.0,0.5089723573851558
Virginia Foxx,1,3,0.3333333333333333,0.4005608947136531
Bob Bennett,0,1,0.0,0.373647786137378
Ed  Fallone,1,2,0.5,0.4483055949593076
Donzella James,1,1,1.0,0.5089723573851558
Nan Orrock,1,3,0.3333333333333333,0.4005608947136531
Jackie Dingfelder,0,1,0.0,0.373647786137378
Edward  Flynn,0,5,0.0,0.24242405884434814
David Ralston,2,4,0.5,0.45825673861108385
Vicki McKenna,0,1,0.0,0.373647786137378
Christopher Blazejewski,1,3,0.3333333333333333,0.4005608947136531
Dan Ramos,1,3,0.3333333333333333,0.4005608947136531
James Florio,0,2,0.0,0.3291109834139506
Al Cardenas,1,1,1.0,0.5089723573851558
Garnet Coleman,2,4,0.5,0.45825673861108385
Council for the National Interest,0,1,0.0,0.373647786137378
John Roberts,0,1,0.0,0.373647786137378
Jeffrey Loria,0,1,0.0,0.373647786137378
Paul  Howard,0,1,0.0,0.373647786137378
Carol Shea-Porter,1,4,0.25,0.3620070221868109
Carolyn Medeiros,1,2,0.5,0.4483055949593076
Diane McKeel,0,1,0.0,0.373647786137378
Trey Martinez Fischer,0,1,0.0,0.373647786137378
Ami Bera,1,1,1.0,0.5089723573851558
Arne Duncan,3,6,0.5,0.4649951519983509
Duriya Farooqui,0,1,0.0,0.373647786137378
Nancy Denuccio,1,2,0.5,0.4483055949593076
Kevin McCarthy,2,2,1.0,0.5675002065046645
Joseph Testa,0,1,0.0,0.373647786137378
Raymond LaHood,1,3,0.3333333333333333,0.4005608947136531
Mallard Fillmore,0,1,0.0,0.373647786137378
My City Bikes,1,1,1.0,0.5089723573851558
Gary Sasse,0,2,0.0,0.3291109834139506
Tim Knopp,0,2,0.0,0.3291109834139506
Ohio Republican Party,3,7,0.42857142857142855,0.43026717445225005
Florida Conference of Catholic Bishops,1,1,1.0,0.5089723573851558
Kenneth Block,3,8,0.375,0.40036599940193085
Sarah Eckhardt,0,1,0.0,0.373647786137378
Bill Jackson,1,1,1.0,0.5089723573851558
Jon Bramnick,1,2,0.5,0.4483055949593076
Josh Mandel,15,29,0.5172413793103449,0.5018735002143706
David Cote,0,1,0.0,0.373647786137378
David Plouffe,1,3,0.3333333333333333,0.4005608947136531
Bob Stacey,2,2,1.0,0.5675002065046645
Steny Hoyer,1,8,0.125,0.26137712539180097
Pete Winstead,1,1,1.0,0.5089723573851558
Donald Rumsfeld,0,1,0.0,0.373647786137378
Grover Norquist,3,5,0.6,0.5058212984939561
Cory Booker,4,18,0.2222222222222222,0.277212895425562
Brian Patrick Kennedy,1,1,1.0,0.5089723573851558
Peter Courtney,0,1,0.0,0.373647786137378
Edith Ajello,1,2,0.5,0.4483055949593076
Wisconsin Manufacturers and Commerce,3,7,0.42857142857142855,0.43026717445225005
Sacramento Bee Editorial Board,1,6,0.16666666666666666,0.3035699743035331
John Wisniewski,4,8,0.5,0.4698604364069958
Leah Ward Sears,0,1,0.0,0.373647786137378
Donna Howard,1,5,0.2,0.33022313872755077
EmpowerED Georgia,0,1,0.0,0.373647786137378
Tammy Baldwin,9,18,0.5,0.48221796294582603
Markel Hutchins,0,1,0.0,0.373647786137378
Richard Saslaw,5,5,1.0,0.6814194582603613
Chris Matthews,3,7,0.42857142857142855,0.43026717445225005
Zoe Lofgren,0,1,0.0,0.373647786137378
Bob McDonnell,14,35,0.4,0.40495937135574583
Joyce Beatty,0,1,0.0,0.373647786137378
Dan Becker,1,1,1.0,0.5089723573851558
Janet Freedman,0,1,0.0,0.373647786137378
Leon Young,1,1,1.0,0.5089723573851558
TriMet,1,3,0.3333333333333333,0.4005608947136531
Mayors Against Illegal Guns,0,3,0.0,0.29406055034478956
Patrick Kennedy,1,4,0.25,0.3620070221868109
Central Falls Police Department,1,1,1.0,0.5089723573851558
Texas Federation of Republican Women,1,1,1.0,0.5089723573851558
Stephen King,0,1,0.0,0.373647786137378
Rodney Frelinghuysen,1,3,0.3333333333333333,0.4005608947136531
Thomas Lindsay,0,1,0.0,0.373647786137378
Americans for a Strong Defense,1,1,1.0,0.5089723573851558
Steve Henson,0,1,0.0,0.373647786137378
Charlotte Lehan,1,2,0.5,0.4483055949593076
Michelle Rehwinkel Vasilinda,0,1,0.0,0.373647786137378
Internet commenters,1,1,1.0,0.5089723573851558
J.D. Van Brink,0,1,0.0,0.373647786137378
National Organization for Marriage,2,2,1.0,0.5675002065046645
Gayle Atteberry,1,1,1.0,0.5089723573851558
Mike Ryan,0,1,0.0,0.373647786137378
Sean Hannity,6,15,0.4,0.40959654255066735
Maggie Hassan,1,4,0.25,0.3620070221868109
Lloyd  Doggett,1,14,0.07142857142857142,0.18446244345351642
Coalition to Stop Gun Violence,1,1,1.0,0.5089723573851558
